epochs,lr,weight_decay,momentum,accuracy
30000,0.01,0.001,0.1,0.975206611570248
30000,0.01,0.0001,0.1,0.975206611570248
30000,0.01,1e-05,0.8,0.8760330578512396
30000,0.01,1e-05,0.8,0.9917355371900828
30000,0.01,1e-05,0.8,0.9917355371900828
30000,0.01,1e-05,0.8,1.0
30000,0.01,1e-05,0.8,0.5454545454545454
30000,0.01,1e-05,0.1,0.3636363636363636
30000,0.01,0.0001,0.1,0.3636363636363636
30000,0.01,0.0001,0.1,0.3636363636363636
30000,0.01,0.0001,0.1,0.3636363636363636
30000,0.01,0.0001,0.1,0.3636363636363636
30000,0.01,0.0001,0.1,0.3636363636363636
30000,0.01,0.0001,0.8,0.5454545454545454
