activity,patient
"[10.966666666666667, 5.033333333333333, 7.166666666666667, 1.0, 10.4, 3.7333333333333334, 7.5, 0.5666666666666667, 15.733333333333333, 8.7, 0.1, 1.8333333333333333, 11.9, 8.1, 6.933333333333334, 20.466666666666665, 258.06666666666666, 35.4, 104.76666666666667, 118.13333333333334, 459.0, 332.3, 380.3666666666667, 323.53333333333336, 222.4, 272.26666666666665, 236.16666666666666, 459.9, 478.6, 81.16666666666667, 0.0, 151.83333333333334, 367.1, 369.23333333333335, 410.06666666666666, 379.2, 344.8, 270.8, 225.9, 301.23333333333335, 255.0, 73.63333333333334, 69.86666666666666, 170.23333333333332, 33.86666666666667, 59.166666666666664, 75.76666666666667, 59.96666666666667]",1.0
"[46.93333333333333, 92.46666666666667, 18.166666666666668, 26.333333333333332, 11.833333333333334, 10.2, 0.0, 4.166666666666667, 9.866666666666667, 15.433333333333334, 0.0, 9.033333333333333, 9.166666666666666, 3.7, 9.4, 1.9333333333333333, 29.066666666666666, 44.03333333333333, 206.06666666666666, 117.56666666666666, 122.46666666666667, 335.2, 491.6, 373.3666666666667, 333.2, 51.6, 76.0, 0.7, 13.366666666666667, 2.1, 39.266666666666666, 282.1, 140.76666666666668, 223.03333333333333, 232.3, 319.93333333333334, 271.3666666666667, 325.56666666666666, 254.7, 192.23333333333332, 353.7, 312.53333333333336, 237.83333333333334, 118.4, 31.933333333333334, 84.46666666666667, 31.066666666666666, 42.333333333333336]",1.0
"[172.0, 29.233333333333334, 55.233333333333334, 142.03333333333333, 15.333333333333334, 0.1, 3.3666666666666667, 3.2, 7.3, 0.1, 1.1666666666666667, 0.0, 2.6333333333333333, 1.3, 25.833333333333332, 9.733333333333333, 222.43333333333334, 240.66666666666666, 246.6, 432.73333333333335, 104.16666666666667, 41.53333333333333, 125.26666666666667, 108.06666666666666, 340.1, 354.03333333333336, 211.06666666666666, 204.6, 273.03333333333336, 182.1, 229.96666666666667, 139.8, 182.56666666666666, 230.83333333333334, 143.8, 240.63333333333333, 427.3666666666667, 467.8, 209.66666666666666, 104.36666666666666, 89.56666666666666, 30.6, 36.833333333333336, 58.5, 91.63333333333334, 68.3, 159.73333333333332, 11.233333333333333]",1.0
"[0.9666666666666667, 4.566666666666666, 1.8333333333333333, 0.0, 5.633333333333334, 2.533333333333333, 2.8333333333333335, 10.2, 31.9, 8.833333333333334, 4.2, 11.7, 25.9, 1.5666666666666667, 4.933333333333334, 16.8, 220.93333333333334, 15.0, 76.86666666666666, 239.66666666666666, 241.56666666666666, 214.56666666666666, 220.0, 314.96666666666664, 243.33333333333334, 150.3, 182.0, 174.8, 409.43333333333334, 190.5, 84.0, 41.4, 247.26666666666668, 57.3, 115.4, 133.56666666666666, 113.06666666666666, 134.66666666666666, 74.66666666666667, 214.33333333333334, 89.4, 25.0, 82.06666666666666, 22.233333333333334, 58.9, 29.033333333333335, 217.3, 5.166666666666667]",1.0
"[5.333333333333333, 0.2, 5.333333333333333, 0.0, 19.9, 5.0, 10.5, 0.0, 15.066666666666666, 4.566666666666666, 5.6, 13.766666666666667, 1.0666666666666667, 18.3, 7.7, 12.033333333333333, 10.033333333333333, 23.766666666666666, 224.83333333333334, 64.3, 425.76666666666665, 209.83333333333334, 366.1333333333333, 370.3666666666667, 370.06666666666666, 365.3333333333333, 510.93333333333334, 893.6, 1183.4, 886.3, 1018.0333333333333, 573.5, 180.1, 484.3, 1111.0666666666666, 1163.5333333333333, 989.3, 930.6, 999.6333333333333, 785.7333333333333, 302.0, 186.4, 244.2, 36.2, 40.266666666666666, 72.46666666666667, 30.2, 33.4]",1.0
"[64.26666666666667, 39.733333333333334, 164.73333333333332, 36.233333333333334, 17.133333333333333, 14.333333333333334, 12.933333333333334, 6.133333333333334, 0.1, 0.5, 14.6, 0.0, 7.166666666666667, 17.9, 20.566666666666666, 12.333333333333334, 9.866666666666667, 3.033333333333333, 24.033333333333335, 248.93333333333334, 151.23333333333332, 104.0, 400.03333333333336, 336.56666666666666, 168.66666666666666, 235.9, 84.1, 155.46666666666667, 161.73333333333332, 178.93333333333334, 100.13333333333334, 60.36666666666667, 224.73333333333332, 344.53333333333336, 230.63333333333333, 229.63333333333333, 375.8666666666667, 274.73333333333335, 61.63333333333333, 23.266666666666666, 56.266666666666666, 117.53333333333333, 59.56666666666667, 72.53333333333333, 70.2, 194.23333333333332, 10.666666666666666, 9.133333333333333]",1.0
"[0.0, 7.566666666666666, 5.833333333333333, 0.0, 12.9, 15.133333333333333, 10.9, 0.36666666666666664, 28.633333333333333, 22.866666666666667, 0.0, 5.0, 3.3333333333333335, 31.3, 96.46666666666667, 35.0, 0.0, 2.6333333333333333, 24.433333333333334, 374.3, 291.96666666666664, 47.93333333333333, 400.23333333333335, 298.1333333333333, 120.83333333333333, 408.9, 296.56666666666666, 363.46666666666664, 443.46666666666664, 104.56666666666666, 188.1, 196.6, 561.6, 400.46666666666664, 372.93333333333334, 326.43333333333334, 326.3, 166.66666666666666, 109.43333333333334, 250.3, 133.23333333333332, 49.86666666666667, 183.23333333333332, 230.53333333333333, 271.3, 103.63333333333334, 107.26666666666667, 42.233333333333334]",1.0
"[171.6, 6.566666666666666, 0.9, 18.9, 1.8, 0.0, 4.666666666666667, 2.533333333333333, 2.466666666666667, 4.666666666666667, 12.9, 0.0, 4.466666666666667, 14.666666666666666, 12.9, 10.266666666666667, 9.833333333333334, 35.1, 236.36666666666667, 151.83333333333334, 376.9, 411.1666666666667, 435.8, 329.3, 214.8, 395.76666666666665, 303.3, 220.93333333333334, 201.83333333333334, 470.6333333333333, 231.9, 394.8, 340.23333333333335, 388.8666666666667, 161.33333333333334, 336.6666666666667, 429.3333333333333, 255.66666666666666, 205.4, 162.16666666666666, 304.23333333333335, 152.36666666666667, 67.26666666666667, 197.96666666666667, 125.23333333333333, 174.23333333333332, 185.46666666666667, 26.1]",1.0
"[0.8333333333333334, 16.0, 5.233333333333333, 33.3, 2.7, 25.266666666666666, 7.133333333333334, 8.7, 12.366666666666667, 0.0, 28.833333333333332, 5.4, 22.733333333333334, 29.766666666666666, 84.7, 270.0, 107.53333333333333, 335.96666666666664, 544.4666666666667, 418.1666666666667, 289.26666666666665, 452.96666666666664, 167.0, 320.56666666666666, 226.9, 49.266666666666666, 106.2, 331.1, 408.6666666666667, 439.23333333333335, 390.6333333333333, 316.8666666666667, 199.76666666666668, 338.53333333333336, 291.4, 341.03333333333336, 735.0333333333333, 404.7, 291.46666666666664, 343.8666666666667, 221.73333333333332, 139.03333333333333, 69.06666666666666, 46.166666666666664, 95.93333333333334, 45.43333333333333, 26.9, 96.56666666666666]",1.0
"[189.06666666666666, 7.733333333333333, 1.2666666666666666, 25.666666666666668, 0.0, 16.033333333333335, 5.933333333333334, 8.2, 21.233333333333334, 14.433333333333334, 1.8333333333333333, 0.0, 0.5666666666666667, 15.4, 13.7, 3.0, 0.0, 17.766666666666666, 10.6, 78.0, 342.6333333333333, 430.2, 405.76666666666665, 692.4333333333333, 635.0333333333333, 214.46666666666667, 235.4, 156.36666666666667, 200.26666666666668, 809.9333333333333, 473.3333333333333, 326.43333333333334, 367.23333333333335, 529.0666666666667, 386.9, 288.06666666666666, 526.4333333333333, 231.73333333333332, 76.93333333333334, 98.46666666666667, 67.56666666666666, 69.33333333333333, 75.6, 165.46666666666667, 50.4, 51.63333333333333, 92.66666666666667, 102.3]",1.0
