f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,target
1.4435399,0.09617158,0.686981,-0.75545335,1.488636,-1.0563197,0.0835838,-0.53430444,-0.73102653,-1.5591389,0.0
0.2685505,0.7691089,1.5754269,-1.2819815,1.0864022,-0.8210231,-1.5781741,-0.09202432,-1.462448,-0.7617138,0.0
2.5377846,-0.12478113,1.023126,-0.87236464,1.5611196,-0.8626263,-0.38941342,-0.47431323,0.7724105,-0.39311388,0.0
1.9990468,0.7499851,0.9882207,-0.96086866,0.9293945,0.050893426,-0.07215296,-1.033872,0.47374725,-1.9530337,0.0
1.9706378,-1.4411957,0.37464833,0.5195202,1.4960855,-1.4189821,-0.8979981,-0.7642885,-0.8440501,-1.1645887,0.0
1.816813,-0.38917163,1.5330181,-0.7761837,1.2211676,-0.7108731,0.6471775,0.5096985,-0.59117025,-1.3852582,0.0
1.2401636,-0.24859655,1.3177223,-0.049939625,1.2390682,-1.368176,0.5808827,-0.16161045,-0.42537773,-1.4213871,0.0
1.3106241,-0.2769911,1.1749816,-0.79326826,0.5667666,-0.76644194,-0.16452637,-0.9777763,-0.7842695,-1.5791627,0.0
2.960763,0.54931223,0.5410506,-0.20844471,1.206325,-0.7576408,-0.94741595,-0.172964,-0.7150519,-0.43837312,0.0
1.893548,-0.40678173,1.2699302,-0.2316457,0.34340268,-0.17835689,0.3634538,-1.010338,-0.83535147,-1.941076,0.0
1.2926016,-0.9316759,0.43935683,-1.4084946,1.1286685,-0.5475537,-1.104547,-1.3895398,-0.8737184,-1.8568627,0.0
2.0222254,-1.056278,-0.20480466,-0.44217685,1.3755002,-0.8723471,-0.24211542,-1.5693144,1.0079201,-1.7676721,0.0
1.101448,-0.4789984,1.2094274,-0.27370855,0.80083525,-1.5584573,-0.6923396,-0.3847964,-1.0135142,-1.0960357,0.0
0.7148067,-1.2419306,-0.760307,-0.8431074,1.1329024,-0.65746343,0.3071853,-2.1738408,1.3249329,-1.8351312,0.0
1.123486,-0.16778958,-1.2688591,-0.8365244,0.66259027,-0.09544498,0.78538245,-1.9222609,0.5060706,-1.7213514,0.0
0.7832781,1.219149,-0.43442097,0.046618454,0.8019482,0.21963304,-1.353699,-1.7238803,0.8335756,-0.67007554,0.0
1.9370041,0.8947854,0.47156808,0.1702744,0.5271531,0.084956825,-0.88600165,-0.6845649,-0.15989354,0.26617643,0.0
2.2903147,0.90826374,1.6539104,-0.9388104,0.9380027,0.07318643,0.62598616,-0.49018663,0.6262617,-1.6145333,0.0
1.7570746,2.0477126,-0.37985668,-0.8542354,0.38929895,0.20031688,-0.59596074,-1.6513007,0.71863914,-1.2397591,0.0
2.0362668,2.0144439,-0.30718875,0.5132278,0.1062296,0.39919376,-0.8585059,-1.2433774,1.3487539,-0.5653806,0.0
