f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
1.3525496,0.19734594,0.6385985,1.3957984,-0.6795933,-0.312776,-0.3250659,-0.3899764,-0.0019828752,-0.9615346,-0.943911,1.2247859,1.1099278,0.969953,0.01601624,-0.7703214,-1.1575031,1.9169738,-2.0599518,-0.9420303,-0.48164618,0.63275903,1.1311874,1.3525664,0.110538214,1.1197646,0.3361007,-1.363616,-1.6369532,0.16868223
0.9534712,-0.26113698,1.071002,2.2574892,-0.23051356,-0.1751192,0.20024003,0.9152151,-1.0338978,-1.0977513,-0.6778537,-0.13576509,1.75083,0.55700135,0.22582912,-0.10354728,-1.064501,0.5858135,-1.1600628,-0.11477613,-0.6966442,0.09149625,0.5424231,1.1621742,-1.0212194,0.23756075,1.1386527,-0.9868943,-1.8775611,0.1545593
1.121789,-1.211887,-0.23643152,1.0480173,0.93610376,-0.5462409,-0.31254303,-0.8102042,0.086331815,-1.1532876,-1.3861203,1.611893,1.2013444,0.65903395,-0.970336,-0.89933157,-0.410738,0.9944244,-1.4395553,-0.6696228,-0.9493091,-1.4309582,-0.3976528,1.0997648,0.21240698,0.8828895,0.6534458,-0.0033383518,-0.79225475,-0.054540914
0.9645741,-0.5605973,0.5520905,1.2879808,-0.16286688,-0.6489264,-0.3613116,-0.77211326,-0.9262109,0.01957278,0.035884947,0.8485335,1.2963643,1.5211587,-0.30496916,-1.2354354,-1.0130645,2.2425163,-2.0745606,-1.5596702,-0.1645169,-0.7244748,0.8377523,1.5465726,-0.035580248,0.4036868,-0.05401521,-0.73718023,-0.8685186,1.135163
1.9454982,-0.13631654,0.84614587,1.2137774,0.072243676,-0.7267999,-0.4109918,-0.51535285,1.1499754,-1.202598,-0.80994153,1.4839438,1.8274308,1.2416446,-0.7024058,-1.0293595,-0.58787435,0.60773826,-0.6742678,-0.9629437,0.282581,0.5983579,-0.4496436,1.9395711,0.2200954,0.68711996,0.64311874,-1.5720619,-0.9407514,0.43810117
1.6354809,-0.5290185,0.29776543,1.8266859,-0.09481515,0.31051362,-1.3516132,0.30394232,-0.42863572,0.31112626,-1.7744548,0.35855,0.63510436,0.8372051,0.10621286,-0.62875116,-1.5229642,1.1383454,-1.2988265,-1.2197765,-1.3658502,-0.08945193,-0.29780024,1.0556717,-0.15159118,0.6869402,0.7123418,-1.145247,-1.4806688,0.4548565
1.6926419,0.549513,-0.20761053,1.2794538,0.15258692,0.008700613,-0.76889557,0.08002824,-0.44152212,0.12557516,-1.2630601,1.5410687,0.9019345,0.95948774,-0.17540085,-0.8133721,-1.4442016,2.0835154,-0.5434771,-0.8614247,-0.86016107,0.3926364,0.5094439,1.2920401,-0.007827997,1.6224247,0.14453515,-0.84127504,-1.4545766,0.7124092
0.64771116,0.13535258,1.6160259,0.803541,-0.45762885,-0.36355466,-0.49597862,0.110076435,-0.7482667,-0.43228453,-0.7870243,1.2116507,1.1078007,0.38226974,-0.35187316,-0.76492715,-1.1066045,0.6835971,-1.1939662,-1.0470395,-0.9860725,0.02043254,0.29576713,1.857227,-0.20060143,0.73487437,0.42835817,-0.4617831,-2.3514736,0.8213398
0.29766837,-1.2468216,0.68825257,0.98490405,0.33720583,-0.050402407,-0.57151306,-0.8890166,0.57252437,-1.7759094,-0.37556386,1.2728287,1.6148566,0.25777468,-1.1952195,-0.84423053,-1.6997805,0.836675,-0.8967444,-0.7984122,-0.31405684,-0.21450154,-0.021032363,2.0910988,-0.40600073,1.1035004,0.74771476,-0.5397027,-1.0543079,0.019633908
1.0382451,-0.61057186,1.369717,0.4707573,-0.943403,-0.648732,-0.7551502,-0.26531518,-0.4116491,-0.41604665,-1.4670984,-0.052094992,1.2247845,0.6932113,-0.3676818,-0.5642331,-1.5542915,0.59474134,-1.1313136,-1.5862726,-0.83381647,-0.5236772,-0.29128456,1.8863174,-0.96954954,0.22716257,0.19488046,-0.73465055,-1.4928685,1.3929714
