f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
0.84319943,-0.01987487,0.34814417,-3.7341757,0.7935921,-2.3111022,0.87204313,-0.6256306,0.68458724,-0.42418596,-1.0794559,0.6077446,-1.6979678,1.1341928,3.722188,1.7720888,3.1425734,-0.6261155,-1.3283913,-1.2545317,-1.3500255,-1.5687178,-0.051353037,1.3138232,1.630979,-0.9311677,-0.9852805,-0.13680121,1.5051657,-2.9011323
2.3844764,0.07516354,-1.2334557,-1.7279245,-0.3286274,-1.4314356,1.7173542,-1.287621,2.3517723,-1.4778094,0.024611354,1.2619064,0.9715296,-0.014847845,4.010117,1.6419306,4.124465,0.24778247,-1.9364269,-0.17452183,-0.8428176,0.7103176,0.9888413,1.1053865,2.594596,0.399935,-0.7960955,-0.117060035,0.7460822,-2.3437598
0.33204815,-1.5136917,1.4406812,-2.3086584,-0.041846454,-1.5173035,-0.4871937,-0.8463042,0.26962295,-2.8330393,-1.0822659,-1.3655106,-0.96259534,1.7147175,1.2526519,2.1665468,1.7704239,-0.7101942,-1.7709455,-1.4050295,-1.8037711,-0.29597795,2.3171976,1.2907943,0.5435894,0.34048933,-2.2704046,0.10676518,2.1745448,-2.2938678
-1.4029714,-0.65849555,0.48185158,-3.419377,0.53949225,-1.8532143,1.2942989,-1.7144554,1.2011676,-1.0175838,-0.7922107,1.2442162,-1.9035803,1.1113427,2.374814,1.8210738,0.98499596,-1.2677932,-1.137006,-0.8473346,-1.3197812,-1.012997,0.39991874,1.45988,-0.03358966,-0.39325207,0.24171388,0.43746522,2.7772129,-2.3105881
0.85253465,0.8629256,2.1347396,-2.6380904,-0.44295737,-0.7189766,0.0905866,0.10334523,0.8416963,-1.2187316,-0.66248965,0.65570766,-1.1130592,1.5044171,2.9744236,2.0676436,2.5438921,0.25404698,-1.6379292,-2.2205808,-2.1095376,-1.7855611,1.2889674,-0.591026,0.814574,1.0170919,-1.2001344,0.7994623,1.5941974,-1.0639414
-0.5198253,-0.23873937,1.5316225,-3.2186854,-1.2072055,-2.1080487,-0.64243233,-0.22407438,1.355475,-1.4159251,-1.1037531,-0.09085764,-0.5102266,1.4518169,2.4930136,1.335643,2.0323827,-0.7252829,-1.2805028,-1.5173012,-2.1531167,0.9589025,1.0566137,2.2077613,2.1188807,-1.6410776,-0.19626905,0.8426695,0.32055983,-2.7218978
-0.0067847297,-0.16103077,2.1154456,-3.9520156,-0.14161858,-2.9621546,0.9212012,-1.0030836,-0.09860754,-0.96403956,-1.3412488,0.50712603,-1.7262726,1.505593,2.8806098,0.31527373,2.5278418,-0.65628207,-0.2984904,-1.0260875,-1.5993783,-0.607864,0.76812017,1.9237272,2.1590748,0.2752589,0.016286194,-0.31753495,1.0212137,-1.2037102
0.40216833,0.5364459,0.73006356,-1.9780424,-0.8990407,-2.3400414,1.7807561,-1.678908,0.52113694,-0.9333287,-1.569015,0.47971416,-1.6651695,1.0235726,3.5478907,2.5990746,1.7568486,-0.26621202,-1.776223,-1.4167203,-1.9163058,-0.68758,1.2833018,2.8439703,2.0807772,0.4255644,0.28245568,0.99105585,1.9737476,-2.273631
0.6138929,0.17415136,2.7244558,-2.0875344,-0.57329226,-0.62496865,1.846588,-0.9581795,0.63146293,-2.7166412,-0.20015728,0.6013164,0.20630732,1.0593501,2.4477947,2.7964861,2.8155544,0.6112619,-1.7565272,-0.1884552,-1.3702723,-2.2192614,1.3654529,-0.0076311827,1.0701263,-0.18799652,-1.0220659,-0.15042302,1.451282,-2.864158
-0.9866763,0.5607558,1.3726871,-2.2802277,-1.1525912,-2.5542781,0.7689328,-0.87400144,0.9284228,-0.5640595,-0.96108735,0.4037403,-1.3512688,0.75318503,3.0190485,1.703594,1.735085,0.75538963,-1.7785966,0.4579656,-2.2374434,0.12573719,1.3655474,1.5171868,1.6168696,-0.4501238,0.060447276,1.8845516,0.76599586,-2.1727402
