epochs,lr,weight_decay,momentum,lr_decay,accuracy
10000,0.1,0.0,0.0,1.0,0.5294117647058824
10000,0.1,0.0,0.0,0.95,0.5514705882352942
10000,0.1,0.0,0.0,0.9,0.5661764705882353
10000,0.1,0.0,0.0,0.8,0.5588235294117647
10000,0.1,0.0,0.2,1.0,0.5808823529411765
10000,0.1,0.0,0.2,0.95,0.5441176470588235
10000,0.1,0.0,0.2,0.9,0.5808823529411765
10000,0.1,0.0,0.2,0.8,0.5735294117647058
10000,0.1,0.0,0.5,1.0,0.5735294117647058
10000,0.1,0.0,0.5,0.95,0.5808823529411765
10000,0.1,0.0,0.5,0.9,0.5735294117647058
10000,0.1,0.0,0.5,0.8,0.5735294117647058
10000,0.1,0.0,0.725,1.0,0.5808823529411765
10000,0.1,0.0,0.725,0.95,0.5735294117647058
10000,0.01,0.001,0.5,1.0,0.583941605839416
10000,0.01,0.001,0.5,0.9,0.5620437956204379
10000,0.01,0.001,0.725,1.0,0.4963503649635036
10000,0.01,0.001,0.725,0.9,0.5474452554744526
10000,0.01,0.001,0.9,1.0,0.5620437956204379
10000,0.01,0.001,0.9,0.9,0.5474452554744526
10000,0.01,0.001,0.99,1.0,0.5036496350364964
10000,0.01,0.001,0.99,0.9,0.5255474452554745
10000,0.01,0.0001,0.5,1.0,0.5985401459854015
10000,0.01,0.0001,0.5,0.9,0.5547445255474452
10000,0.01,0.0001,0.725,1.0,0.5620437956204379
10000,0.01,0.0001,0.725,0.9,0.583941605839416
10000,0.01,0.0001,0.9,1.0,0.5401459854014599
10000,0.01,0.0001,0.9,0.9,0.5255474452554745
10000,0.01,0.0001,0.99,1.0,0.5474452554744526
10000,0.01,0.0001,0.99,0.9,0.5401459854014599
10000,0.01,1e-05,0.5,1.0,0.5328467153284672
10000,0.01,1e-05,0.5,0.9,0.5547445255474452
10000,0.01,1e-05,0.725,1.0,0.4744525547445255
10000,0.01,1e-05,0.725,0.9,0.4817518248175182
10000,0.01,1e-05,0.9,1.0,0.5912408759124088
10000,0.01,1e-05,0.9,0.9,0.4452554744525547
10000,0.01,1e-05,0.99,1.0,0.6277372262773723
10000,0.01,1e-05,0.99,0.9,0.5985401459854015
10000,0.001,0.001,0.5,1.0,0.5328467153284672
10000,0.001,0.001,0.5,0.9,0.5109489051094891
10000,0.001,0.001,0.725,1.0,0.5401459854014599
10000,0.001,0.001,0.725,0.9,0.5620437956204379
10000,0.001,0.001,0.9,1.0,0.5328467153284672
10000,0.001,0.001,0.9,0.9,0.5693430656934306
10000,0.001,0.001,0.99,1.0,0.5036496350364964
10000,0.001,0.001,0.99,0.9,0.4744525547445255
10000,0.001,0.0001,0.5,1.0,0.6058394160583942
10000,0.001,0.0001,0.5,0.9,0.5182481751824818
10000,0.001,0.0001,0.725,1.0,0.5182481751824818
10000,0.001,0.0001,0.725,0.9,0.5328467153284672
10000,0.001,0.0001,0.9,1.0,0.583941605839416
10000,0.001,0.0001,0.9,0.9,0.5912408759124088
10000,0.001,0.0001,0.99,1.0,0.4890510948905109
10000,0.001,0.0001,0.99,0.9,0.5036496350364964
10000,0.001,1e-05,0.5,1.0,0.5401459854014599
10000,0.001,1e-05,0.5,0.9,0.4306569343065693
10000,0.001,1e-05,0.725,1.0,0.437956204379562
10000,0.001,1e-05,0.725,0.9,0.6131386861313869
10000,0.001,1e-05,0.9,1.0,0.5766423357664233
10000,0.001,1e-05,0.9,0.9,0.5182481751824818
10000,0.001,1e-05,0.99,1.0,0.5036496350364964
10000,0.001,1e-05,0.99,0.9,0.5912408759124088
10000,0.0001,0.001,0.5,1.0,0.364963503649635
10000,0.0001,0.001,0.5,0.9,0.3503649635036496
10000,0.0001,0.001,0.725,1.0,0.3503649635036496
10000,0.0001,0.001,0.725,0.9,0.6131386861313869
10000,0.0001,0.001,0.9,1.0,0.5620437956204379
10000,0.0001,0.001,0.9,0.9,0.5547445255474452
10000,0.0001,0.001,0.99,1.0,0.5328467153284672
10000,0.0001,0.001,0.99,0.9,0.5693430656934306
10000,0.0001,0.0001,0.5,1.0,0.5401459854014599
10000,0.0001,0.0001,0.5,0.9,0.3722627737226277
10000,0.0001,0.0001,0.725,1.0,0.4963503649635036
10000,0.0001,0.0001,0.725,0.9,0.6642335766423357
10000,0.0001,0.0001,0.9,1.0,0.5182481751824818
10000,0.0001,0.0001,0.9,0.9,0.5182481751824818
10000,0.0001,0.0001,0.99,1.0,0.5328467153284672
10000,0.0001,0.0001,0.99,0.9,0.6131386861313869
10000,0.0001,1e-05,0.5,1.0,0.5036496350364964
10000,0.0001,1e-05,0.5,0.9,0.3722627737226277
10000,0.0001,1e-05,0.725,1.0,0.5547445255474452
10000,0.0001,1e-05,0.725,0.9,0.4744525547445255
10000,0.0001,1e-05,0.9,1.0,0.5985401459854015
10000,0.0001,1e-05,0.9,0.9,0.5985401459854015
10000,0.0001,1e-05,0.99,1.0,0.5255474452554745
10000,0.0001,1e-05,0.99,0.9,0.5620437956204379
